user,tweet
SYAM JOEL,@urstrulyMahesh Enjoy దేశంలో NRC  CAA పైనా నోరు మెదపరు సూపర్ సార్ మీరు
Abhishek dutta,@DLFEmporio one of your employees sshretu kansal supports the man firing at anti caa rally in delhi... do you want… https://t.co/jzWDEE39cF
JAY G.,"@narendramodi @AmitShah @DrSJaishankar @PiyushGoyal 

As Europe is next target for Trump Administration led the Uni… https://t.co/UHKOIC9neb"
VINODKUMAR,@Real_Vish5 @MajorPoonia CAA NRC समर्थको पे हिंसा हुआ था उसका विरोध किये थे क्या आज का दिन एतिहासिक गांधी गोडसे गोपाल
Huma Ahmad,"#Jamia #ArrestAnuragThakur
आज जामिया में CAA के खिलाफ विरोध कर रहे छात्रों पर एक सनकी व्यक्ति ने बीजेपी नेता अनुराग… https://t.co/QNDo0YSwfe"
Coronaviruse,@PaasoonOfficial You think your are telling truth but you know deep down that you are lying. Why Imran Khan tweeted… https://t.co/isPrEMD2Eu
Reporter Anchal Yadav🇮🇳,"और मांगो आजादी

देखो मिल गयी आजादी

कुछ देर के लिए ही सही दिल्ली वालों को प्रोटेस्ट करने वालो से मिली आज़ादी।… https://t.co/Sr6iwbdQvX"
मानवेन्द्र सिंह सेंगर🇮🇳,@SanjayAzadSln @ArvindKejriwal जरा सुनना साहब आप लोग मुझे आपकी 200 यूनिट फ्री वाली बिजली नही चाहिए 370 और CAA वाली… https://t.co/z6TpLFRrzN
Arif Shaik,The amendment to CAA is discriminatory in nature. The world sees it  #WorldAgainstCAA_NRC_NPR
Ippodhu,"கோட்சேவும், மோடியும் ஒரே கொள்கையுடையவர்கள் : குடியுரிமை திருத்த சட்டத்துக்கு எதிரான போராட்டத்தில் ராகுல் காந்தி… https://t.co/xXlk6Mk0bw"
Rakesh K Singh राकेश कुमार सिंह,"Gun-Wielding Man Shoots Jamia Student at Anti-CAA Rally, Shouts 'Jai Shri Ram, Yeh Lo Azadi' Slogans https://t.co/s5paGyugki"
Imroze,Sahib would b very proud today... #jamiafiring #CAA_NRCProtests
Umesh Patel,Let's supported CAA and NRC https://t.co/7UQQAbT5iU
Gujarat Samachar,"યુરોપિયન યુનિયનની આ મહિલા સાંસદે ભારતની તરફેણમાં કરી જોરદાર દલીલો 
#EuropeanParliament #CAA #HelenaDalli… https://t.co/tvRgm4sd03"
Syed Meraj Ali معراج علی,https://t.co/01LMGdo5G7
Kaustubh Chandra,"@RahulGandhi teaching us how to be a Gandhi in the time of Godse bhakts, leading by example ❤️

#kunalkamra… https://t.co/qrkJGIKhfH"
Neha,Godi Media labelled Terr*rist Gopal as Anti CAA protestor before Delhi police had done their investigation… https://t.co/xAk5Mj8ICY
