user,tweet
🌹 LkSharma 🌹,@MahthaNeel @chitraaum https://t.co/hKoDZiMNsX
Hyderabad Deccan News,"Dedicated to Manoj Tiwari @ Rinki ke Papa

https://t.co/OyV76rqTbz @ New Delhi https://t.co/yjGD4Qugiy"
MNN@India,"But such infrastructure development projects can't garner votes for any party.
Vajpayee was defeated in spite of hi… https://t.co/2yzGm2wYI3"
veena Dimri,"@Mayawati Fir aa gai muftkhori ki aukat par, ba UP ko Delhi bana ne ki shurooaat."
ELister Social,"#delhi #urgent Need A+ #blood @ R &amp; R Hospital. Call 9818485485 #bloodaid      #bloodmatters #ELister

Copy to:… https://t.co/FjEbMknCZq"
Khan Saad,Paid Media vs People of Delhi - Is free / subsidised utilities good gove... https://t.co/FZNyTb0coy via @YouTube
Nepal First,"@RabindraMishra @ArvindKejriwal @Sajha_Party @AamAadmiParty In #Nepal, If people are convinced your party  can prov… https://t.co/jgWmPF6VsW"
"In a desert, On a horse, with No Name","#Gaandu kejriwal and Janta of #Delhi 
#HowMuchFree"
Ella 🙏🏻,"@SumukhChinchol2 @Mysterious_Leo5 That is definitely a matter of concern,  but still some people in delhi are actua… https://t.co/dyy6Io2Wgi"
sumit Sharma country comes first always,@abbas_nighat Pakistan walo ko kya chahie Delhi election se
Krishna Dev Pandey,NBT: छात्राओं का आरोप 'CAA प्रदर्शन के दौरान प्राइवेट पार्ट्स पर मारा'  https://t.co/ZuWoD2xzt6
Dr. Ghazala Javed,"Receiving certificate of appreciation from Shri Pramod Kumar Pathak, Additional Secretary, Ministry of AYUSH for su… https://t.co/07oU3ZAnZI"
Sanjay Verma,#HowMuchFree Delhi people loved to call them beggers.  So They voted for kejriwal just to get freebies..
gpsingh,"@JPNadda delhi vote share

SC,ST       20%
Muslims  20%
Others      15%
This 55% vote
went to AAP 

BJP got about… https://t.co/oIu6r0Regj"
Amit Anand,@kanhaiyakumar tumhara delhi wala Aka sab free de rha hai..tax bharnewale marte rhe tum bhashan de ke free service ka maja lo
TrueToPeople,@BJP4Delhi we demand new leadership for BIP im Delhi. All those existing people who are not in favor of this come o… https://t.co/L6Nwy24omh
Pradeep John,"#Muslims weren't polarised in #Delhi, they just replaced #Congress with #AAP! #DelhiAssemblyElections2020 

https://t.co/RX6laAOrFx"
JATINDER SHARMA,"@TVMohandasPai Mr Pai, with due regards pls do comment on Mr Sudhir Chaudhary of Zee News remarks on Delhi voters too...was that journalism?"
ABP Ananda,"#DelhiElectionResult2020 #Congress #PCChacko দিল্লি বিধানসভা নির্বাচনে কংগ্রেসের খারাপ ফল, ভারপ্রাপ্ত নেতার পদ থেকে… https://t.co/qji68HEYLK"
pure gujju,"Delhi ka tamasa khatam bjp nafrat wale chintu ab chalo tamasa karne bihar🤣🤣🤣😂😂😂😂janta ko bevkuf banane....

Jay shree ram...."
🌹 LkSharma 🌹,@vijaysharmajng @SaddamShaikh660 @chitraaum @Jitendr39761815 https://t.co/hKoDZiMNsX
Azad,@LambaAlka @duttabhishek @Radhika_Khera @neetuvermasoin @adarshshastri @SandeepTanwarIN @devendrayadvinc… https://t.co/qbH8vZsRIr
Nitesh Gupta,@ZeeNewsHindi Ji bilkul.. because  Abhi Kashmir wale Halaat Delhi mein nhi hue hai.
TOI Delhi,"#GargiCollege case: ""10 arrested in connection with the case registered in PS Hauz Khas. Over 11 teams working in t… https://t.co/aLYDaSjpK5"
Bhai Ramsingh,"@HMOIndia @AmitShah HoN,able HOME minister of India off New Delhi India plz help me proclaim offereder threatened t… https://t.co/tmpXXxuPrR"
nikhil wagle,Misleading reports claim Shaheen Bagh empty post AAP win in Delhi election - Alt News https://t.co/mNDM2c762M
Teekam Singh,@Amritapandeyy Delhi ke mulle nech gaddar
Kartar singh,@ArvindKejriwal @ShatruganSinha Mujhe apaar khushi ho rahi h delhi asembaly chunav ki jeet ki ye vakei m sachai ki… https://t.co/3DstFqB4SD
ANI UP,"Directorate of Health Services, UP: 51 of them were found to be symptomatic.Samples of 4 travelers have been sent t… https://t.co/PreuD1dB8u"
